id,name,type,description,apply_link,state,area,age_group,income_bracket,occupation,gender,social_category
1,PM Kisan Samman Nidhi (PM-KISAN),Agriculture,Income support of Rs. 6000 per year to eligible farmers through Direct Benefit Transfer,https://pmkisan.gov.in/,All States,Rural,18-60 years,Small and marginal farmers,Farmer,Both,All
2,Ayushman Bharat PM-JAY,Healthcare,Largest health assurance scheme providing Rs. 5 lakh health cover per family per year,https://pmjay.gov.in/,All States except Delhi Odisha West Bengal,Both,All ages,Below Rs. 5 lakh annually,All,Both,All
3,PM Awas Yojana Urban (PMAY-U),Housing,Housing scheme for urban areas providing subsidy for EWS/LIG/MIG categories,https://pmaymis.gov.in/,All States,Urban,18 years and above,EWS: Up to Rs. 3 lakh LIG: Rs. 3-6 lakh MIG-I: Rs. 6-12 lakh MIG-II: Rs. 12-18 lakh,All,Both,All
4,PM Awas Yojana Gramin (PMAY-G),Housing,Rural housing scheme providing financial assistance for house construction,https://pmayg.nic.in/,All States,Rural,18 years and above,Below Poverty Line,All,Both,All
5,PM Jan Dhan Yojana (PMJDY),Financial Inclusion,Zero balance bank accounts with insurance and overdraft facility,https://pmjdy.gov.in/,All States,Both,18-59 years,All income groups,All,Both,All
6,Mahatma Gandhi NREGA (MGNREGA),Employment,100 days guaranteed employment per year for rural households,https://nrega.nic.in/,All States,Rural,18 years and above,All rural households,Unskilled laborer,Both,All
7,PM Ujjwala Yojana,Energy,Free LPG connections to women from BPL families,https://pmuy.gov.in/,All States,Both,18 years and above,Below Poverty Line,All,Female,All
8,PM Mudra Yojana,Finance,Loans up to Rs. 10 lakh for micro enterprises,https://mudra.org.in/,All States,Both,18 years and above,All income groups,Entrepreneur/Self-employed,Both,All
9,Atal Pension Yojana (APY),Pension,Pension scheme for unorganized sector workers,https://npscra.nsdl.co.in/,All States,Both,18-40 years,All income groups,Unorganized sector workers,Both,All
10,PM Suraksha Bima Yojana (PMSBY),Insurance,Accident insurance scheme for Rs. 2 lakh coverage,https://jansuraksha.gov.in/,All States,Both,18-70 years,All income groups,All,Both,All
11,PM Jeevan Jyoti Bima Yojana (PMJJBY),Insurance,Life insurance scheme providing Rs. 2 lakh coverage,https://jansuraksha.gov.in/,All States,Both,18-50 years,All income groups,All,Both,All
12,Sukanya Samriddhi Yojana,Savings,Savings scheme for girl child education and marriage,Post Office/Bank branches,All States,Both,0-10 years (girl child),All income groups,Parents/Guardians,Female,All
13,PM Fasal Bima Yojana,Agriculture,Crop insurance scheme for farmers,https://pmfby.gov.in/,All States,Rural,18 years and above,All farmer categories,Farmer,Both,All
14,PM Krishi Sinchai Yojana (PMKSY),Agriculture,Irrigation support and water conservation for farmers,State Agriculture Departments,All States,Rural,18 years and above,All farmers,Farmer,Both,All
15,Digital India,Technology,Digital transformation initiative for e-governance and digital literacy,https://digitalindia.gov.in/,All States,Both,All ages,All income groups,All,Both,All
